identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_P15,1478,192.168.159.160/27,192.168.159.160,27,192.168.159.161,192.168.159.162-192.168.159.190,192.168.159.162,192.168.159.190,192.168.159.161,192.168.159.190,192.168.159.191
EWT_P16,1479,192.168.159.192/27,192.168.159.192,27,192.168.159.193,192.168.159.194-192.168.159.222,192.168.159.194,192.168.159.222,192.168.159.193,192.168.159.222,192.168.159.223
EWT_P17,1480,192.168.159.224/27,192.168.159.224,27,192.168.159.225,192.168.159.226-192.168.159.254,192.168.159.226,192.168.159.254,192.168.159.225,192.168.159.254,192.168.159.255
EWT_P19,1481,192.168.160.0/27,192.168.160.0,27,192.168.160.1,192.168.160.2-192.168.160.30,192.168.160.2,192.168.160.30,192.168.160.1,192.168.160.30,192.168.160.31
EWT_P20,1482,192.168.160.32/27,192.168.160.32,27,192.168.160.33,192.168.160.34-192.168.160.62,192.168.160.34,192.168.160.62,192.168.160.33,192.168.160.62,192.168.160.63
EWT_P23,1483,192.168.160.64/27,192.168.160.64,27,192.168.160.65,192.168.160.66-192.168.160.94,192.168.160.66,192.168.160.94,192.168.160.65,192.168.160.94,192.168.160.95
EWT_P25,1484,192.168.160.96/27,192.168.160.96,27,192.168.160.97,192.168.160.98-192.168.160.126,192.168.160.98,192.168.160.126,192.168.160.97,192.168.160.126,192.168.160.127
EWT_P26,1485,192.168.160.128/27,192.168.160.128,27,192.168.160.129,192.168.160.130-192.168.160.158,192.168.160.130,192.168.160.158,192.168.160.129,192.168.160.158,192.168.160.159
EWT_P27,1486,192.168.160.160/27,192.168.160.160,27,192.168.160.161,192.168.160.162-192.168.160.190,192.168.160.162,192.168.160.190,192.168.160.161,192.168.160.190,192.168.160.191
EWT_P28,1487,192.168.160.192/27,192.168.160.192,27,192.168.160.193,192.168.160.194-192.168.160.222,192.168.160.194,192.168.160.222,192.168.160.193,192.168.160.222,192.168.160.223
EWT_P29,1488,192.168.160.224/27,192.168.160.224,27,192.168.160.225,192.168.160.226-192.168.160.254,192.168.160.226,192.168.160.254,192.168.160.225,192.168.160.254,192.168.160.255
EWT_P30,1489,192.168.161.0/27,192.168.161.0,27,192.168.161.1,192.168.161.2-192.168.161.30,192.168.161.2,192.168.161.30,192.168.161.1,192.168.161.30,192.168.161.31
EWT_P41,1490,192.168.161.32/27,192.168.161.32,27,192.168.161.33,192.168.161.34-192.168.161.62,192.168.161.34,192.168.161.62,192.168.161.33,192.168.161.62,192.168.161.63
EWT_P42,1491,192.168.161.64/27,192.168.161.64,27,192.168.161.65,192.168.161.66-192.168.161.94,192.168.161.66,192.168.161.94,192.168.161.65,192.168.161.94,192.168.161.95
